Training: 2023-12-28 00:21:17,101-rank_id: 0
Training: 2023-12-28 00:22:58,208-Speed 791.10 samples/sec   Loss 46.3921   LearningRate 0.020000   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:22:59,828-Speed 791.42 samples/sec   Loss 46.3909   LearningRate 0.020000   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:23:01,448-Speed 789.77 samples/sec   Loss 46.2677   LearningRate 0.020000   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:23:03,069-Speed 789.84 samples/sec   Loss 46.3124   LearningRate 0.020000   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:23:04,683-Speed 793.02 samples/sec   Loss 46.2774   LearningRate 0.020000   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:23:06,301-Speed 791.57 samples/sec   Loss 46.1317   LearningRate 0.020000   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:23:07,922-Speed 789.69 samples/sec   Loss 46.3015   LearningRate 0.020000   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:23:09,539-Speed 791.68 samples/sec   Loss 46.2830   LearningRate 0.020000   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:23:11,159-Speed 790.21 samples/sec   Loss 46.2769   LearningRate 0.020000   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:23:12,778-Speed 790.80 samples/sec   Loss 46.2644   LearningRate 0.020000   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:23:14,397-Speed 790.67 samples/sec   Loss 46.3118   LearningRate 0.020000   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 131072   Required: 11 hours
Training: 2023-12-28 00:23:16,017-Speed 790.23 samples/sec   Loss 46.1096   LearningRate 0.020000   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:17,635-Speed 790.99 samples/sec   Loss 46.1769   LearningRate 0.020000   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:19,256-Speed 789.65 samples/sec   Loss 46.1749   LearningRate 0.020000   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:20,875-Speed 790.42 samples/sec   Loss 46.1329   LearningRate 0.020000   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:23:22,494-Speed 791.20 samples/sec   Loss 46.2077   LearningRate 0.020000   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:23:24,112-Speed 791.33 samples/sec   Loss 46.1467   LearningRate 0.020000   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:23:25,726-Speed 793.58 samples/sec   Loss 46.1264   LearningRate 0.020000   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:27,345-Speed 790.39 samples/sec   Loss 46.1706   LearningRate 0.020000   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:28,963-Speed 791.66 samples/sec   Loss 46.1646   LearningRate 0.020000   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:30,582-Speed 790.73 samples/sec   Loss 46.0609   LearningRate 0.020000   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:32,199-Speed 791.31 samples/sec   Loss 46.0526   LearningRate 0.020000   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:33,820-Speed 789.69 samples/sec   Loss 45.8201   LearningRate 0.020000   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:35,440-Speed 790.69 samples/sec   Loss 45.8467   LearningRate 0.020000   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:37,058-Speed 791.16 samples/sec   Loss 46.0422   LearningRate 0.020000   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:38,674-Speed 792.33 samples/sec   Loss 45.9089   LearningRate 0.020000   Epoch: 0   Global Step: 770   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:40,294-Speed 790.66 samples/sec   Loss 45.9342   LearningRate 0.020000   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:41,913-Speed 790.84 samples/sec   Loss 45.9677   LearningRate 0.020000   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:23:43,533-Speed 790.71 samples/sec   Loss 45.8479   LearningRate 0.020000   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:23:45,204-Speed 766.01 samples/sec   Loss 46.0604   LearningRate 0.020000   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:46,824-Speed 790.55 samples/sec   Loss 46.0788   LearningRate 0.020000   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:48,447-Speed 789.07 samples/sec   Loss 45.9956   LearningRate 0.020000   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:50,064-Speed 791.54 samples/sec   Loss 45.7862   LearningRate 0.020000   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:51,684-Speed 790.46 samples/sec   Loss 45.9557   LearningRate 0.020000   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:53,302-Speed 791.22 samples/sec   Loss 45.8994   LearningRate 0.020000   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:54,921-Speed 791.12 samples/sec   Loss 45.8076   LearningRate 0.020000   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:56,540-Speed 790.50 samples/sec   Loss 45.8965   LearningRate 0.020000   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:58,160-Speed 790.20 samples/sec   Loss 45.9065   LearningRate 0.020000   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:23:59,778-Speed 791.14 samples/sec   Loss 45.7182   LearningRate 0.020000   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:24:01,392-Speed 793.22 samples/sec   Loss 45.5323   LearningRate 0.020000   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:24:03,014-Speed 789.61 samples/sec   Loss 45.7159   LearningRate 0.020000   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:24:04,632-Speed 791.20 samples/sec   Loss 45.7924   LearningRate 0.020000   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:24:06,249-Speed 791.45 samples/sec   Loss 45.8209   LearningRate 0.020000   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:24:07,868-Speed 791.13 samples/sec   Loss 45.7846   LearningRate 0.020000   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:24:09,487-Speed 790.62 samples/sec   Loss 45.7507   LearningRate 0.020000   Epoch: 0   Global Step: 960   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:24:11,105-Speed 791.13 samples/sec   Loss 45.5501   LearningRate 0.020000   Epoch: 0   Global Step: 970   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:24:12,724-Speed 790.85 samples/sec   Loss 45.8354   LearningRate 0.020000   Epoch: 0   Global Step: 980   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:24:14,343-Speed 790.76 samples/sec   Loss 45.6745   LearningRate 0.020000   Epoch: 0   Global Step: 990   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:24:15,961-Speed 791.13 samples/sec   Loss 45.6485   LearningRate 0.020000   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 131072   Required: 10 hours
Training: 2023-12-28 00:24:17,580-Speed 791.23 samples/sec   Loss 45.5945   LearningRate 0.020000   Epoch: 0   Global Step: 1010   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:19,201-Speed 790.15 samples/sec   Loss 45.4931   LearningRate 0.020000   Epoch: 0   Global Step: 1020   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:20,822-Speed 789.39 samples/sec   Loss 45.6396   LearningRate 0.020000   Epoch: 0   Global Step: 1030   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:22,446-Speed 788.24 samples/sec   Loss 45.4644   LearningRate 0.020000   Epoch: 0   Global Step: 1040   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:24,114-Speed 767.88 samples/sec   Loss 45.4523   LearningRate 0.020000   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:25,734-Speed 790.06 samples/sec   Loss 45.3258   LearningRate 0.020000   Epoch: 0   Global Step: 1060   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:27,356-Speed 789.38 samples/sec   Loss 45.5461   LearningRate 0.020000   Epoch: 0   Global Step: 1070   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:28,975-Speed 790.64 samples/sec   Loss 45.2197   LearningRate 0.020000   Epoch: 0   Global Step: 1080   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:30,596-Speed 790.06 samples/sec   Loss 45.4456   LearningRate 0.020000   Epoch: 0   Global Step: 1090   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:32,217-Speed 789.98 samples/sec   Loss 45.4812   LearningRate 0.020000   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:33,840-Speed 788.69 samples/sec   Loss 45.2711   LearningRate 0.020000   Epoch: 0   Global Step: 1110   Fp16 Grad Scale: 524288   Required: 10 hours
Training: 2023-12-28 00:24:35,456-Speed 792.17 samples/sec   Loss 45.4212   LearningRate 0.020000   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:37,079-Speed 788.26 samples/sec   Loss 45.4498   LearningRate 0.020000   Epoch: 0   Global Step: 1130   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:38,702-Speed 789.43 samples/sec   Loss 45.2178   LearningRate 0.020000   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:40,324-Speed 789.24 samples/sec   Loss 45.2654   LearningRate 0.020000   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:41,944-Speed 790.12 samples/sec   Loss 45.2491   LearningRate 0.020000   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:43,565-Speed 789.66 samples/sec   Loss 45.2931   LearningRate 0.020000   Epoch: 0   Global Step: 1170   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:45,184-Speed 790.68 samples/sec   Loss 45.2151   LearningRate 0.020000   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:46,806-Speed 789.92 samples/sec   Loss 45.2974   LearningRate 0.020000   Epoch: 0   Global Step: 1190   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:48,431-Speed 788.23 samples/sec   Loss 45.2749   LearningRate 0.020000   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:50,050-Speed 790.64 samples/sec   Loss 45.2407   LearningRate 0.020000   Epoch: 0   Global Step: 1210   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:51,670-Speed 789.86 samples/sec   Loss 45.2856   LearningRate 0.020000   Epoch: 0   Global Step: 1220   Fp16 Grad Scale: 524288   Required: 10 hours
Training: 2023-12-28 00:24:53,284-Speed 793.32 samples/sec   Loss 45.1345   LearningRate 0.020000   Epoch: 0   Global Step: 1230   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:54,905-Speed 789.92 samples/sec   Loss 45.0143   LearningRate 0.020000   Epoch: 0   Global Step: 1240   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:56,529-Speed 788.99 samples/sec   Loss 45.1972   LearningRate 0.020000   Epoch: 0   Global Step: 1250   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:58,149-Speed 789.83 samples/sec   Loss 45.1723   LearningRate 0.020000   Epoch: 0   Global Step: 1260   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:24:59,771-Speed 789.49 samples/sec   Loss 44.9402   LearningRate 0.020000   Epoch: 0   Global Step: 1270   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:01,395-Speed 788.43 samples/sec   Loss 45.0659   LearningRate 0.020000   Epoch: 0   Global Step: 1280   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:03,015-Speed 789.84 samples/sec   Loss 45.2081   LearningRate 0.020000   Epoch: 0   Global Step: 1290   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:04,638-Speed 788.86 samples/sec   Loss 45.2987   LearningRate 0.020000   Epoch: 0   Global Step: 1300   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:06,260-Speed 789.01 samples/sec   Loss 44.9999   LearningRate 0.020000   Epoch: 0   Global Step: 1310   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:07,883-Speed 788.91 samples/sec   Loss 44.9955   LearningRate 0.020000   Epoch: 0   Global Step: 1320   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:09,497-Speed 792.94 samples/sec   Loss 45.1477   LearningRate 0.020000   Epoch: 0   Global Step: 1330   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:11,117-Speed 790.20 samples/sec   Loss 45.0242   LearningRate 0.020000   Epoch: 0   Global Step: 1340   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:12,737-Speed 790.39 samples/sec   Loss 44.7750   LearningRate 0.020000   Epoch: 0   Global Step: 1350   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:14,360-Speed 788.75 samples/sec   Loss 44.9487   LearningRate 0.020000   Epoch: 0   Global Step: 1360   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:15,984-Speed 789.24 samples/sec   Loss 44.9467   LearningRate 0.020000   Epoch: 0   Global Step: 1370   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:17,606-Speed 789.49 samples/sec   Loss 45.1664   LearningRate 0.020000   Epoch: 0   Global Step: 1380   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:19,226-Speed 790.11 samples/sec   Loss 45.0793   LearningRate 0.020000   Epoch: 0   Global Step: 1390   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:20,849-Speed 789.28 samples/sec   Loss 44.6239   LearningRate 0.020000   Epoch: 0   Global Step: 1400   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:22,469-Speed 790.39 samples/sec   Loss 44.8944   LearningRate 0.020000   Epoch: 0   Global Step: 1410   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:24,092-Speed 788.97 samples/sec   Loss 44.7096   LearningRate 0.020000   Epoch: 0   Global Step: 1420   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:25,707-Speed 793.22 samples/sec   Loss 44.9237   LearningRate 0.020000   Epoch: 0   Global Step: 1430   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:27,329-Speed 789.69 samples/sec   Loss 44.6920   LearningRate 0.020000   Epoch: 0   Global Step: 1440   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:28,948-Speed 790.50 samples/sec   Loss 44.7986   LearningRate 0.020000   Epoch: 0   Global Step: 1450   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:30,570-Speed 789.28 samples/sec   Loss 44.8049   LearningRate 0.020000   Epoch: 0   Global Step: 1460   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:32,193-Speed 789.04 samples/sec   Loss 44.8595   LearningRate 0.020000   Epoch: 0   Global Step: 1470   Fp16 Grad Scale: 262144   Required: 10 hours
Training: 2023-12-28 00:25:33,815-Speed 789.14 samples/sec   Loss 44.8074   LearningRate 0.020000   Epoch: 0   Global Step: 1480   Fp16 Grad Scale: 262144   Required: 10 hours
